"Site","Quadrat","Year","Depth metres","Temperature celsius","Sand %","Macroalgae %","Microalgae %","Corals %"
"LTER06","Q3.4",2006,"1",27.6461775296144,13,2.8,80.8,3.4
"LTER01","Q3.4",2007,"1",28.0634093245878,22.1,0.5,53.2,0
"LTER02","Q3.4",2007,"1",27.4090923974943,0,0,4.6,0
"LTER03","Q3.4",2007,"1",28.0712776324747,7.4,0,88.4,1.6
"LTER04","Q3.4",2007,"1",28.0299992839754,4.3,2.2,59.8,32.6
"LTER05","Q3.4",2007,"1",28.117369361003,0.5,0,51.3,47.1
"LTER06","Q3.4",2007,"1",28.0809681683398,0,25.3,61.1,0
"LTER01","Q3.4",2008,"1",27.6146916441844,18.1,0,45.2,36.7
"LTER02","Q3.4",2008,"1",27.7110048381094,1.5,0,15.1,83.4
"LTER03","Q3.4",2008,"1",27.820307308452,19.5,0,79.5,1
"LTER04","Q3.4",2008,"1",27.6445644864074,44,1,25,30
"LTER05","Q3.4",2008,"1",27.7679004491018,7.5,0,25,67.5
"LTER06","Q3.4",2008,"1",27.6501033257992,8.5,13.5,72.5,5.5
"LTER01","Q3.4",2009,"1",27.9906445963182,22.1,0.5,32.3,45.1
"LTER02","Q3.4",2009,"1",28.0414380366696,0,0.5,17.8,81.7
"LTER03","Q3.4",2009,"1",27.994474226357,10,0,87.4,2.7
"LTER04","Q3.4",2009,"1",27.9707363972128,63.9,1.6,31.9,2.6
"LTER05","Q3.4",2009,"1",28.0576962174716,0,0,2.2,97.8
"LTER06","Q3.4",2009,"1",28.1397490753499,20.2,19.7,46.6,13.5
"LTER01","Q3.4",2010,"1",27.887508013432,15.7,0,34,50.3
"LTER02","Q3.4",2010,"1",27.9095695528069,0,0.5,27.3,72.1
"LTER03","Q3.4",2010,"1",27.9704774682195,0,0,97.9,2.1
"LTER04","Q3.4",2010,"1",27.8959225000952,90.8,0,9.2,0
"LTER05","Q3.4",2010,"1",28.2852811235068,0,0,0.5,99.5
"LTER06","Q3.4",2010,"1",27.8899431028905,2.7,19.5,54.6,23.2
"LTER01","Q3.4",2011,"1",27.229412682704,11.1,5.3,36.8,46.8
"LTER02","Q3.4",2011,"1",27.2557628312519,0,3.7,5.8,90.6
"LTER03","Q3.4",2011,"1",27.5005280113145,5.3,0,91.5,3.2
"LTER04","Q3.4",2011,"1",27.2244127165429,73.5,1.5,13.8,11.2
"LTER05","Q3.4",2011,"1",27.2567307991495,0,0.5,3.7,95.8
"LTER06","Q3.4",2011,"1",27.2498702041283,0,11.6,27.5,60.8
"LTER01","Q3.4",2012,"1",27.7841114724171,19.1,30.1,24,26.8
"LTER02","Q3.4",2012,"1",27.758065649754,2.1,6.3,78.8,12.7
"LTER03","Q3.4",2012,"1",27.6645911251981,12.8,1.7,84.4,1.2
"LTER04","Q3.4",2012,"1",27.7159185300482,93.4,0,6.6,0
"LTER05","Q3.4",2012,"1",27.8079607537708,0.5,0,22,77.5
"LTER06","Q3.4",2012,"1",27.7190939144643,0,34.1,29.5,36.4
"LTER01","Q3.4",2013,"1",27.6504694813144,23.6,7.1,53.8,14.8
"LTER02","Q3.4",2013,"1",27.506674492737,41.1,0,44.8,14.1
"LTER03","Q3.4",2013,"1",27.5195094462167,25.4,0,73.5,1.1
"LTER04","Q3.4",2013,"1",27.4603885629097,97.3,0,2.7,0
"LTER05","Q3.4",2013,"1",27.471182624576,0,0,22.6,68.4
"LTER06","Q3.4",2013,"1",27.4961078703076,0,16.3,29.8,53.9
"LTER02","Q3.4",2014,"1",27.8362737713179,2.8,9.4,68.3,19.4
"LTER03","Q3.4",2014,"1",27.8329987813702,22,0,78,0
"LTER04","Q3.4",2014,"1",27.7586491685873,76.7,2.6,16.4,4.2
"LTER05","Q3.4",2014,"1",27.904828222844,0,0,36.2,57.8
"LTER06","Q3.4",2014,"1",27.8239230913424,0,16.3,58.1,25.6
"LTER01","Q3.4",2015,"1",28.2533522618363,18.6,30.4,46.6,1.2
"LTER02","Q3.4",2015,"1",27.9682522385216,1.7,19.3,68.5,6.6
"LTER03","Q3.4",2015,"1",27.9845805333993,29.8,1.2,67.8,1.2
"LTER05","Q3.4",2015,"1",28.0040059573818,0,0,29.5,69.3
"LTER06","Q3.4",2015,"1",27.9921481749462,2.7,54.3,36.2,6.4
"LTER01","Q3.4",2016,"1",28.0406091074866,4.1,45.9,43.5,0
"LTER02","Q3.4",2016,"1",28.1715244481593,0,25.6,73.8,0.6
"LTER03","Q3.4",2016,"1",28.164708877111,7.5,0,87.9,4.1
"LTER04","Q3.4",2016,"1",28.0995342611403,93.5,0,6,0.5
"LTER05","Q3.4",2016,"1",28.2164700007308,3.4,0,18.5,76.4
"LTER06","Q3.4",2016,"1",28.2387807610512,0,19.2,76.8,4
"LTER01","Q3.4",2017,"1",28.3689186879477,21.5,11.1,63,0
"LTER02","Q3.4",2017,"1",28.3462896403142,3.8,26.4,52.7,0
"LTER03","Q3.4",2017,"1",28.3763806299676,18.5,7.9,63.5,6.2
"LTER04","Q3.4",2017,"1",28.0708088753452,97.8,0,2.2,0
"LTER05","Q3.4",2017,"1",28.1966917436435,3.8,0,9.9,84.6
"LTER06","Q3.4",2017,"1",28.3799132867838,12.7,55.5,23.1,0.6
"LTER01","Q3.4",2018,"1",28.0732817797417,35.1,11.2,38.3,0.5
"LTER02","Q3.4",2018,"1",28.0082232156987,14.1,16.8,28.6,0
"LTER03","Q3.4",2018,"1",27.9639161917708,52.5,1.1,43.2,1.6
"LTER04","Q3.4",2018,"1",27.9599065741306,85.5,3.8,6.5,3.2
"LTER05","Q3.4",2018,"1",28.1035164312098,0.6,0,0,99.4
"LTER06","Q3.4",2018,"1",27.9144224900429,4.9,16.4,73.8,0
"LTER01","Q3.4",2019,"1",27.2845838001952,39.5,13.7,16.3,0.5
"LTER02","Q3.4",2019,"1",28.1940967334076,12.8,59.4,11.8,2.1
"LTER03","Q3.4",2019,"1",28.1140556868425,50.3,3.3,24.3,9.4
"LTER04","Q3.4",2019,"1",27.805624841443,78.1,2.2,7.7,7.1
"LTER05","Q3.4",2019,"1",28.1542794759825,3.2,0,5.3,91
"LTER06","Q3.4",2019,"1",28.3183883003953,19.2,52.3,22.3,0
"LTER01","Q3.4",2020,"1",28.3060439717665,0,7.2,0,1.5
"LTER02","Q3.4",2020,"1",28.1366869747899,0,52.7,0,1.1
"LTER03","Q3.4",2020,"1",28.1726081920207,0,0,0,12.8
"LTER04","Q3.4",2020,"1",28.1994896370438,0,0,0,0
"LTER05","Q3.4",2020,"1",28.2084073806628,0,0,0,100
"LTER06","Q3.4",2020,"1",27.9783467231688,0,38.5,0,0
"LTER01","Q3.4",2021,"1",28.5024019399302,14.6,18.9,66.5,0
"LTER02","Q3.4",2021,"1",28.4131850842418,1.6,22.6,70.5,5.3
"LTER03","Q3.4",2021,"1",28.3892764139428,12.4,6.2,70.8,9.6
"LTER04","Q3.4",2021,"1",28.3469249650564,66.3,0,33.7,0
"LTER05","Q3.4",2021,"1",28.5428812559888,0,0.6,8.4,88.2
"LTER06","Q3.4",2021,"1",28.5016351606805,0,22.3,71.8,5.8
"LTER01","Q3.5",2005,"1",27.5293184924819,33.5,0,59.5,7
"LTER02","Q3.5",2005,"1",27.594211757064,0,0,91.1,8.9
"LTER03","Q3.5",2005,"1",NA,6.5,0,86.3,7.2
"LTER04","Q3.5",2005,"1",NA,9,0,41.3,49.7
"LTER05","Q3.5",2005,"1",NA,0,0,81.4,18.6
"LTER06","Q3.5",2005,"1",NA,3.1,14.2,75.9,6.8
"LTER01","Q3.5",2006,"1",28.0624931423347,34,0,51.9,14.2
"LTER02","Q3.5",2006,"1",28.2292330092039,11.1,0,52.5,32.1
"LTER03","Q3.5",2006,"1",27.6003052204659,6.6,0,71.7,21.7
"LTER04","Q3.5",2006,"1",27.5750067609736,5.1,0,46.1,48.9
"LTER05","Q3.5",2006,"1",27.6266973004021,2.3,0,12.1,85.5
"LTER06","Q3.5",2006,"1",27.6461775296144,16.6,1.8,76.1,5.5
"LTER01","Q3.5",2007,"1",28.0634093245878,36.4,0,63.6,0
"LTER02","Q3.5",2007,"1",27.4090923974943,1.5,0,10.2,0
"LTER03","Q3.5",2007,"1",28.0712776324747,1.1,0,90.9,7.5
"LTER04","Q3.5",2007,"1",28.0299992839754,7.9,0,49.7,42.3
"LTER05","Q3.5",2007,"1",28.117369361003,0.5,0,54.8,43
"LTER06","Q3.5",2007,"1",28.0809681683398,0.6,26.4,43.8,1.7
"LTER01","Q3.5",2008,"1",27.6146916441844,29.8,1,67.2,2
"LTER02","Q3.5",2008,"1",27.7110048381094,4.5,0,12.1,83.4
"LTER03","Q3.5",2008,"1",27.820307308452,11.5,0.5,86,2
"LTER04","Q3.5",2008,"1",27.6445644864074,53.8,4,24.6,17.6
"LTER05","Q3.5",2008,"1",27.7679004491018,20.5,0,16,63.5
"LTER06","Q3.5",2008,"1",27.6501033257992,12.6,17.7,59.6,10.1
"LTER01","Q3.5",2009,"1",27.9906445963182,42.3,2,51.5,4.1
"LTER02","Q3.5",2009,"1",28.0414380366696,11.7,1,24.4,62.9
"LTER03","Q3.5",2009,"1",27.994474226357,12.1,0.5,85.8,1.6
"LTER04","Q3.5",2009,"1",27.9707363972128,55.7,0.5,29.2,14.6
"LTER05","Q3.5",2009,"1",28.0576962174716,0,0,19.4,80.6
"LTER06","Q3.5",2009,"1",28.1397490753499,46.9,4.6,35.1,13.4
"LTER01","Q3.5",2010,"1",27.887508013432,36.5,1,58.3,4.2
"LTER02","Q3.5",2010,"1",27.9095695528069,0,0,72.7,27.3
"LTER03","Q3.5",2010,"1",27.9704774682195,0,0.5,93,6.5
"LTER04","Q3.5",2010,"1",27.8959225000952,55,1.1,34.4,9.5
"LTER05","Q3.5",2010,"1",28.2852811235068,0,0,0,100
"LTER06","Q3.5",2010,"1",27.8899431028905,23.6,7.2,47.2,22
"LTER01","Q3.5",2011,"1",27.229412682704,36.9,1.1,58.1,3.9
"LTER02","Q3.5",2011,"1",27.2557628312519,0,0,13.4,86.6
"LTER03","Q3.5",2011,"1",27.5005280113145,2.7,1.1,94.7,1.6
"LTER04","Q3.5",2011,"1",27.2244127165429,94.7,1.6,2.1,1.6
"LTER05","Q3.5",2011,"1",27.2567307991495,0,0,10.1,89.9
"LTER06","Q3.5",2011,"1",27.2498702041283,0,33,27,40
"LTER01","Q3.5",2012,"1",27.7841114724171,24.6,16.6,52.4,6.4
"LTER02","Q3.5",2012,"1",27.758065649754,2.7,1.6,83.8,11.9
"LTER03","Q3.5",2012,"1",27.6645911251981,1.6,0,98.4,0
"LTER04","Q3.5",2012,"1",27.7159185300482,71,1.6,25.8,1.6
"LTER05","Q3.5",2012,"1",27.8079607537708,7,0,8.1,84.9
"LTER06","Q3.5",2012,"1",27.7190939144643,0,31,10.9,58.2
"LTER01","Q3.5",2013,"1",27.6504694813144,26.8,4.5,60.9,7.9
"LTER02","Q3.5",2013,"1",27.506674492737,50.3,1.1,27.3,20.9
"LTER03","Q3.5",2013,"1",27.5195094462167,29.2,0,70.8,0
"LTER04","Q3.5",2013,"1",27.4603885629097,92.5,0,7.5,0
"LTER05","Q3.5",2013,"1",27.471182624576,0,2.7,21.1,74
"LTER06","Q3.5",2013,"1",27.4961078703076,0,17.6,16.5,65.9
"LTER01","Q3.5",2014,"1",27.7898602262202,32.2,1.6,63.9,2.2
"LTER03","Q3.5",2014,"1",27.8329987813702,11.2,0,88.8,0
"LTER04","Q3.5",2014,"1",27.7586491685873,87.2,0,10.6,2.1
"LTER05","Q3.5",2014,"1",27.904828222844,0.6,0,26.5,70.7
"LTER06","Q3.5",2014,"1",27.8239230913424,0,13.7,53.7,32
"LTER01","Q3.5",2015,"1",28.2533522618363,28.8,19.4,49.4,0.6
"LTER02","Q3.5",2015,"1",27.9682522385216,4,16.1,74.1,1.7
"LTER03","Q3.5",2015,"1",27.9845805333993,17.5,0,81.9,0
"LTER04","Q3.5",2015,"1",27.909146250928,98.9,0,1.1,0
"LTER05","Q3.5",2015,"1",28.0040059573818,1.1,0.6,30.5,65
"LTER06","Q3.5",2015,"1",27.9921481749462,1.1,59.1,28.7,10.5
"LTER01","Q3.5",2016,"1",28.0406091074866,21,19.2,55.1,0
"LTER02","Q3.5",2016,"1",28.1715244481593,0,36.8,63.2,0
"LTER03","Q3.5",2016,"1",28.164708877111,8.5,1.2,89,1.2
"LTER04","Q3.5",2016,"1",28.0995342611403,92.5,2.3,5.2,0
"LTER05","Q3.5",2016,"1",28.2164700007308,0.6,0,2.2,96.7
"LTER06","Q3.5",2016,"1",28.2387807610512,0.5,16.2,81.6,1.1
"LTER01","Q3.5",2017,"1",28.3689186879477,22.5,18.1,58.8,0
"LTER02","Q3.5",2017,"1",28.3462896403142,5.1,17.1,45.1,0
"LTER03","Q3.5",2017,"1",28.3763806299676,10.6,16.8,68.7,0
"LTER04","Q3.5",2017,"1",28.0708088753452,59.1,1.1,39.2,0.6
"LTER05","Q3.5",2017,"1",28.1966917436435,0,0,1.2,98.8
"LTER06","Q3.5",2017,"1",28.3799132867838,4.1,45.6,42.1,0.6
"LTER01","Q3.5",2018,"1",28.0732817797417,36,8.1,50.5,2.2
"LTER02","Q3.5",2018,"1",28.0082232156987,11.5,22.4,24,0
"LTER03","Q3.5",2018,"1",27.9639161917708,4.3,1.1,90.9,1
"LTER04","Q3.5",2018,"1",27.9599065741306,95.3,2.6,0.5,1.6
"LTER05","Q3.5",2018,"1",28.1035164312098,0,0,2.2,96.8
"LTER06","Q3.5",2018,"1",27.9144224900429,6,25.5,60.3,0
"LTER01","Q3.5",2019,"1",27.2845838001952,57.8,5.7,13.5,1.6
"LTER02","Q3.5",2019,"1",28.1940967334076,9.6,50,9.6,0
"LTER03","Q3.5",2019,"1",28.1140556868425,56.9,5,19.3,6.2
"LTER04","Q3.5",2019,"1",27.805624841443,90,3.7,4.7,0
"LTER06","Q3.5",2019,"1",28.3183883003953,18,51.3,24.9,1.6
"LTER01","Q3.5",2020,"1",28.3060439717665,0,4.1,0,5.1
"LTER02","Q3.5",2020,"1",28.1366869747899,0,73.4,0,0.5
"LTER03","Q3.5",2020,"1",28.1726081920207,0,0,0,10.6
"LTER04","Q3.5",2020,"1",28.1994896370438,0,0,0,0
"LTER05","Q3.5",2020,"1",28.2084073806628,0,0,0,100
"LTER06","Q3.5",2020,"1",27.9783467231688,0,32.4,0,1.6
"LTER01","Q3.5",2021,"1",28.5024019399302,16.9,3.4,70.6,9
"LTER02","Q3.5",2021,"1",28.4131850842418,0,42.2,57.3,0
"LTER03","Q3.5",2021,"1",28.3892764139428,8.2,3.3,79.3,8.2
"LTER04","Q3.5",2021,"1",28.3469249650564,57.1,3.2,38.1,1.6
"LTER05","Q3.5",2021,"1",28.5428812559888,0,0,7.8,91.7
"LTER06","Q3.5",2021,"1",28.5016351606805,3.2,54.3,41.4,0.5
"LTER01","Q3.6",2005,"1",27.5293184924819,1.9,0,98.1,0
"LTER02","Q3.6",2005,"1",27.594211757064,0,0,73,27
"LTER03","Q3.6",2005,"1",NA,21.7,0,66.3,12
"LTER04","Q3.6",2005,"1",NA,54.1,0,28.2,17.7
"LTER05","Q3.6",2005,"1",NA,6.2,0,13.8,80
"LTER06","Q3.6",2005,"1",NA,0,9.5,80.4,10.1
"LTER01","Q3.6",2006,"1",28.0624931423347,38.2,0,42.8,19.1
"LTER02","Q3.6",2006,"1",28.2292330092039,0,0,53.8,46.3
"LTER03","Q3.6",2006,"1",27.6003052204659,11.7,0.6,74.8,12.9
"LTER04","Q3.6",2006,"1",27.5750067609736,36.1,0,40.2,23.7
"LTER05","Q3.6",2006,"1",27.6266973004021,0,0,4.8,95.2
"LTER06","Q3.6",2006,"1",27.6461775296144,0,2.4,78.8,18.8
"LTER01","Q3.6",2007,"1",28.0634093245878,1.6,0.5,72.6,0
"LTER02","Q3.6",2007,"1",27.4090923974943,54,0,30.3,0
"LTER03","Q3.6",2007,"1",28.0712776324747,3.2,0,90.8,3.2
"LTER04","Q3.6",2007,"1",28.0299992839754,12.5,0,60.4,27.1
"LTER05","Q3.6",2007,"1",28.117369361003,0,0,1.5,98.5
"LTER06","Q3.6",2007,"1",28.0809681683398,0,18.4,64.8,14.3
"LTER01","Q3.6",2008,"1",27.6146916441844,5,4,51,40
"LTER02","Q3.6",2008,"1",27.7110048381094,57.5,1.5,14.5,26.5
"LTER03","Q3.6",2008,"1",27.820307308452,24.5,0,73.5,2
"LTER04","Q3.6",2008,"1",27.6445644864074,79.4,0,20.6,0
"LTER05","Q3.6",2008,"1",27.7679004491018,0.5,0,10,89.5
"LTER06","Q3.6",2008,"1",27.6501033257992,28.6,6.5,47.2,17.6
"LTER01","Q3.6",2009,"1",27.9906445963182,0,0,51.6,48.4
"LTER02","Q3.6",2009,"1",28.0414380366696,90.3,0.5,7.7,1.5
"LTER03","Q3.6",2009,"1",27.994474226357,16.4,0,82.1,1.5
"LTER04","Q3.6",2009,"1",27.9707363972128,26.6,2.1,52.1,19.3
"LTER05","Q3.6",2009,"1",28.0576962174716,0,0,3.8,96.2
"LTER06","Q3.6",2009,"1",28.1397490753499,4.1,8.7,62.8,24.5
"LTER01","Q3.6",2010,"1",27.887508013432,0,5.7,42.5,51.8
"LTER02","Q3.6",2010,"1",27.9095695528069,0,1,94.4,4.6
"LTER03","Q3.6",2010,"1",27.9704774682195,13.5,0,79.7,6.8
"LTER04","Q3.6",2010,"1",27.8959225000952,90.2,0,9.8,0
"LTER05","Q3.6",2010,"1",28.2852811235068,0,0,0,100
"LTER06","Q3.6",2010,"1",27.8899431028905,35.7,4.9,48.1,11.4
"LTER01","Q3.6",2011,"1",27.229412682704,0,21.7,33.1,45.2
"LTER02","Q3.6",2011,"1",27.2557628312519,85.8,0,11.1,3.2
"LTER03","Q3.6",2011,"1",27.5005280113145,6.1,0,92.3,1.7
"LTER04","Q3.6",2011,"1",27.2244127165429,28,1.6,47.7,22.8
"LTER05","Q3.6",2011,"1",27.2567307991495,0,0,3.8,96.2
"LTER06","Q3.6",2011,"1",27.2498702041283,29.7,14.8,53.3,2.2
"LTER01","Q3.6",2012,"1",27.7841114724171,0,58.4,33.5,8.1
"LTER03","Q3.6",2012,"1",27.6645911251981,19.1,0,80.3,0.5
"LTER04","Q3.6",2012,"1",27.7159185300482,28.8,2.7,43.5,25
"LTER05","Q3.6",2012,"1",27.8079607537708,0,0.6,11,88.4
"LTER06","Q3.6",2012,"1",27.7190939144643,47.4,7.4,41.1,4
"LTER01","Q3.6",2013,"1",27.6504694813144,0,16.8,74.9,8.4
"LTER02","Q3.6",2013,"1",27.506674492737,42.9,1.1,53.3,2.7
"LTER03","Q3.6",2013,"1",27.5195094462167,25.8,0,72.5,1.1
"LTER04","Q3.6",2013,"1",27.4603885629097,23.7,0.6,61,14.7
"LTER05","Q3.6",2013,"1",27.471182624576,1.7,0,38,58.1
"LTER06","Q3.6",2013,"1",27.4961078703076,20.1,9.8,60.9,8.7
"LTER01","Q3.6",2014,"1",27.7898602262202,1.7,23.7,73.4,1.2
"LTER03","Q3.6",2014,"1",27.8329987813702,43.5,0,56.5,0
"LTER04","Q3.6",2014,"1",27.7586491685873,49.2,21.9,18,10.9
"LTER05","Q3.6",2014,"1",27.904828222844,0.5,0.5,56.5,40.2
"LTER06","Q3.6",2014,"1",27.8239230913424,9.3,20.9,58.2,11
"LTER01","Q3.6",2015,"1",28.2533522618363,5,39.7,52.5,1.1
"LTER02","Q3.6",2015,"1",27.9682522385216,3.4,18.3,74.9,0
"LTER03","Q3.6",2015,"1",27.9845805333993,59.1,0.6,39.8,0
"LTER04","Q3.6",2015,"1",27.909146250928,97.3,0,2.7,0
"LTER05","Q3.6",2015,"1",28.0040059573818,0.5,0,39.3,58.5
"LTER06","Q3.6",2015,"1",27.9921481749462,9,20.1,58.2,12.7
"LTER01","Q3.6",2016,"1",28.0406091074866,1.2,61.2,34.7,2.4
"LTER02","Q3.6",2016,"1",28.1715244481593,0,32,67.5,0
"LTER03","Q3.6",2016,"1",28.164708877111,9.7,5.7,70.3,14.3
"LTER04","Q3.6",2016,"1",28.0995342611403,42.9,6,46.7,4.4
"LTER05","Q3.6",2016,"1",28.2164700007308,0,0.6,10,89.4
"LTER06","Q3.6",2016,"1",28.2387807610512,7.6,15.2,71.9,5.3
"LTER01","Q3.6",2017,"1",28.3689186879477,0,37,60.6,0.6
"LTER02","Q3.6",2017,"1",28.3462896403142,1.1,28.5,62,0
"LTER03","Q3.6",2017,"1",28.3763806299676,13.2,2.2,80.8,3.2
"LTER04","Q3.6",2017,"1",28.0708088753452,52.9,2.1,18,25.9
"LTER06","Q3.6",2017,"1",28.3799132867838,22.7,27.3,41.5,1.7
"LTER01","Q3.6",2018,"1",28.0732817797417,1.1,26,60.5,0.6
"LTER03","Q3.6",2018,"1",27.9639161917708,22.1,0,74.2,0.5
"LTER04","Q3.6",2018,"1",27.9599065741306,33.7,22.8,28,11.9
"LTER05","Q3.6",2018,"1",28.1035164312098,0,0,1,98.4
"LTER06","Q3.6",2018,"1",27.9144224900429,1.6,33,38.9,1.1
"LTER01","Q3.6",2019,"1",27.2845838001952,15.7,40,18.9,1.1
"LTER02","Q3.6",2019,"1",28.1940967334076,3.3,57.5,14.4,0
"LTER03","Q3.6",2019,"1",28.1140556868425,63.2,5.9,19.5,3.2
"LTER04","Q3.6",2019,"1",27.805624841443,95.7,0.5,1.6,1.1
"LTER05","Q3.6",2019,"1",28.1542794759825,0.5,0,1.5,97.9
"LTER06","Q3.6",2019,"1",28.3183883003953,12.3,72.7,11.2,1.6
"LTER01","Q3.6",2020,"1",28.3060439717665,0,25.4,0,1
"LTER02","Q3.6",2020,"1",28.1366869747899,0,62.2,0,1.5
"LTER03","Q3.6",2020,"1",28.1726081920207,0,0,0,1.6
"LTER04","Q3.6",2020,"1",28.1994896370438,0,0,0,5.9
"LTER05","Q3.6",2020,"1",28.2084073806628,0,0,0,100
"LTER06","Q3.6",2020,"1",27.9783467231688,0,24.7,0,3.7
"LTER01","Q3.6",2021,"1",28.5024019399302,0,33.3,56.1,10.6
"LTER03","Q3.6",2021,"1",28.3892764139428,25.3,3.8,69.8,1
"LTER04","Q3.6",2021,"1",28.3469249650564,66.3,1.1,26.3,6.2
"LTER05","Q3.6",2021,"1",28.5428812559888,0,0.6,5.5,93.9
"LTER06","Q3.6",2021,"1",28.5016351606805,9.4,44.8,44.2,0
"LTER01","Q3.7",2005,"1",27.5293184924819,0.6,0,86.7,12.7
"LTER03","Q3.7",2005,"1",NA,15.1,0,81.9,3
"LTER04","Q3.7",2005,"1",NA,14.5,0,74.1,11.4
"LTER05","Q3.7",2005,"1",NA,0,0,1.3,98.7
"LTER06","Q3.7",2005,"1",NA,0,14.2,65.4,20.4
"LTER01","Q3.7",2006,"1",28.0624931423347,23,0,48.5,28.5
"LTER02","Q3.7",2006,"1",28.2292330092039,0,1.3,66,32.7
"LTER03","Q3.7",2006,"1",27.6003052204659,8.3,1.2,84.6,5.9
"LTER04","Q3.7",2006,"1",27.5750067609736,10.5,0,82.7,6.8
"LTER05","Q3.7",2006,"1",27.6266973004021,4.7,0,7,88.4
"LTER06","Q3.7",2006,"1",27.6461775296144,8.4,5.4,68.3,18
"LTER01","Q3.7",2007,"1",28.0634093245878,0.5,0,91.8,0
"LTER02","Q3.7",2007,"1",27.4090923974943,29.3,0.5,68.6,1.6
"LTER03","Q3.7",2007,"1",28.0712776324747,4.1,0,92.2,2.6
"LTER04","Q3.7",2007,"1",28.0299992839754,0.6,0,96.6,2.9
"LTER05","Q3.7",2007,"1",28.117369361003,0,0,2.6,97.4
"LTER06","Q3.7",2007,"1",28.0809681683398,1.1,29.1,47.6,16.4
"LTER01","Q3.7",2008,"1",27.6146916441844,30,0,52,18
"LTER02","Q3.7",2008,"1",27.7110048381094,70.5,0,28.5,1
"LTER03","Q3.7",2008,"1",27.820307308452,1,0,88.5,10.5
"LTER04","Q3.7",2008,"1",27.6445644864074,30,2.5,55,12.5
"LTER05","Q3.7",2008,"1",27.7679004491018,0,0,0.5,99.5
"LTER06","Q3.7",2008,"1",27.6501033257992,6.5,14,47.5,32
"LTER01","Q3.7",2009,"1",27.9906445963182,7.2,0,71.6,21.1
"LTER02","Q3.7",2009,"1",28.0414380366696,79.5,0,20.5,0
"LTER03","Q3.7",2009,"1",27.994474226357,14.1,0,81.7,4.2
"LTER04","Q3.7",2009,"1",27.9707363972128,59.9,1,12,27.1
"LTER05","Q3.7",2009,"1",28.0576962174716,0,0,0.5,99.5
"LTER06","Q3.7",2009,"1",28.1397490753499,28.9,20.3,31.6,19.3
"LTER01","Q3.7",2010,"1",27.887508013432,16.6,0.5,34.2,48.7
"LTER02","Q3.7",2010,"1",27.9095695528069,0,0,100,0
"LTER03","Q3.7",2010,"1",27.9704774682195,8.5,0,89.9,1.6
"LTER04","Q3.7",2010,"1",27.8959225000952,67.7,0,13.4,18.8
"LTER05","Q3.7",2010,"1",28.2852811235068,0,0,0.5,99.5
"LTER06","Q3.7",2010,"1",27.8899431028905,4.8,10.6,63,21.7
"LTER01","Q3.7",2011,"1",27.229412682704,1.1,10.9,28.8,59.2
"LTER02","Q3.7",2011,"1",27.2557628312519,37.7,1.6,49.2,11.5
"LTER03","Q3.7",2011,"1",27.5005280113145,33.3,0,66.7,0
"LTER04","Q3.7",2011,"1",27.2244127165429,36.3,2.6,40.5,20.5
"LTER05","Q3.7",2011,"1",27.2567307991495,0,1.6,0,98.4
"LTER06","Q3.7",2011,"1",27.2498702041283,1,2.6,70.6,25.8
"LTER01","Q3.7",2012,"1",27.7841114724171,0.5,63.8,22.9,12.8
"LTER03","Q3.7",2012,"1",27.6645911251981,2.2,0,97.8,0
"LTER04","Q3.7",2012,"1",27.7159185300482,44.4,4.8,31,19.8
"LTER05","Q3.7",2012,"1",27.8079607537708,0,0,9,91
"LTER06","Q3.7",2012,"1",27.7190939144643,0.5,40,53,6.5
"LTER01","Q3.7",2013,"1",27.6504694813144,1.1,25.9,67.2,5.8
"LTER02","Q3.7",2013,"1",27.506674492737,5.9,0,70.6,23.5
"LTER03","Q3.7",2013,"1",27.5195094462167,77.9,0,18.2,3.9
"LTER04","Q3.7",2013,"1",27.4603885629097,47.3,0,33.3,19.4
"LTER05","Q3.7",2013,"1",27.471182624576,0,0,17,79
"LTER06","Q3.7",2013,"1",27.4961078703076,0.5,4.7,76.3,18.4
"LTER01","Q3.7",2014,"1",27.7898602262202,0.5,35.9,59.8,3.8
"LTER03","Q3.7",2014,"1",27.8329987813702,62.1,0,31.9,0
"LTER04","Q3.7",2014,"1",27.7586491685873,49.5,5.9,29,15.6
"LTER05","Q3.7",2014,"1",27.904828222844,0,0,47.5,43.7
"LTER06","Q3.7",2014,"1",27.8239230913424,1.1,4.3,84,10.1
"LTER01","Q3.7",2015,"1",28.2533522618363,6,48.2,41.1,4.8
"LTER03","Q3.7",2015,"1",27.9845805333993,58.9,0,38.1,3
"LTER04","Q3.7",2015,"1",27.909146250928,53,6.1,33.1,7.8
"LTER05","Q3.7",2015,"1",28.0040059573818,1.1,1.1,41.1,55.6
"LTER06","Q3.7",2015,"1",27.9921481749462,31.9,30.9,34.6,2.7
"LTER01","Q3.7",2016,"1",28.0406091074866,24.2,53.3,18.2,3.6
"LTER03","Q3.7",2016,"1",28.164708877111,32.5,1.2,58,7.7
"LTER04","Q3.7",2016,"1",28.0995342611403,36.9,8.8,36.9,17.5
"LTER05","Q3.7",2016,"1",28.2164700007308,0.6,0,42.9,54.8
"LTER06","Q3.7",2016,"1",28.2387807610512,43,37.6,18.8,0.5
"LTER01","Q3.7",2017,"1",28.3689186879477,14.2,46,32.4,4
"LTER03","Q3.7",2017,"1",28.3763806299676,24.4,7.4,61.9,1.2
